time,lastnum,result,maximumRoll,maximum,minimum
100,2829,end,0,3010,2627
100,2627,end,1,2975,2603
100,3377,end,99,3377,2930
100,3070,end,91,3202,2910
100,2690,end,3,2990,2501
100,2851,end,29,3056,2737
100,2723,end,11,3078,2591
100,2865,end,85,3041,2694
100,3383,end,52,3413,2929
100,2823,end,12,3064,2688
100,2952,end,34,3236,2928
100,2804,end,28,3259,2682
100,3054,end,71,3224,2897
100,2723,end,14,3041,2661
100,2682,end,0,2930,2587
100,2778,end,29,3102,2674
100,2916,end,41,3184,2844
100,2466,end,0,3010,2466
100,2882,end,60,3211,2797
100,2728,end,23,3150,2624
100,3326,end,95,3344,2898
100,2806,end,5,3071,2806
100,2554,end,0,2990,2508
100,2826,end,43,3075,2702
100,2717,end,41,3146,2526
100,2376,end,2,3004,2320
100,3166,end,95,3215,2912
100,2930,end,34,3164,2930
100,3245,end,66,3340,2894
100,2543,end,10,3075,2454
100,2947,end,42,3244,2897
100,3002,end,39,3173,2848
100,2734,end,0,3010,2734
100,3077,end,63,3263,2930
100,2625,end,0,2990,2537
100,2656,end,28,3205,2608
100,3129,end,67,3192,2778
100,3010,end,35,3138,2884
100,2818,end,20,3036,2678
100,2975,end,26,3074,2785
100,3277,end,99,3277,2759
100,3296,end,92,3384,2910
100,3085,end,71,3146,2877
100,2713,end,0,3010,2551
100,2844,end,56,3134,2711
100,2984,end,90,3103,2869
time,lastnum,result,maximumRoll,maximum,minimum
100,3347,end,34,3414,2925
100,2342,end,13,3085,2124
100,2244,end,4,3026,2166
100,3092,end,51,3343,2803
100,3059,end,97,3132,2407
100,2190,end,20,2982,2154
100,2417,end,62,2960,2375
100,2614,end,0,2895,2240
100,3626,end,98,3731,2669
